Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,date
1,1,4,2015-09-17,1,1,0,0,c,a,1270.0,0,2008-09-01
857,1,3,2015-09-16,1,1,0,0,c,a,1270.0,0,2008-09-01
1713,1,2,2015-09-15,1,1,0,0,c,a,1270.0,0,2008-09-01
2569,1,1,2015-09-14,1,1,0,0,c,a,1270.0,0,2008-09-01
3425,1,7,2015-09-13,0,0,0,0,c,a,1270.0,0,2008-09-01
4281,1,6,2015-09-12,1,0,0,0,c,a,1270.0,0,2008-09-01
5137,1,5,2015-09-11,1,0,0,0,c,a,1270.0,0,2008-09-01
5993,1,4,2015-09-10,1,0,0,0,c,a,1270.0,0,2008-09-01
6849,1,3,2015-09-09,1,0,0,0,c,a,1270.0,0,2008-09-01
7705,1,2,2015-09-08,1,0,0,0,c,a,1270.0,0,2008-09-01
8561,1,1,2015-09-07,1,0,0,0,c,a,1270.0,0,2008-09-01
9417,1,7,2015-09-06,0,0,0,0,c,a,1270.0,0,2008-09-01
10273,1,6,2015-09-05,1,0,0,0,c,a,1270.0,0,2008-09-01
11129,1,5,2015-09-04,1,1,0,1,c,a,1270.0,0,2008-09-01
11985,1,4,2015-09-03,1,1,0,1,c,a,1270.0,0,2008-09-01
12841,1,3,2015-09-02,1,1,0,1,c,a,1270.0,0,2008-09-01
13697,1,2,2015-09-01,1,1,0,1,c,a,1270.0,0,2008-09-01
14553,1,1,2015-08-31,1,1,0,1,c,a,1270.0,0,2008-09-01
15409,1,7,2015-08-30,0,0,0,1,c,a,1270.0,0,2008-09-01
16265,1,6,2015-08-29,1,0,0,1,c,a,1270.0,0,2008-09-01
17121,1,5,2015-08-28,1,0,0,1,c,a,1270.0,0,2008-09-01
17977,1,4,2015-08-27,1,0,0,1,c,a,1270.0,0,2008-09-01
18833,1,3,2015-08-26,1,0,0,1,c,a,1270.0,0,2008-09-01
19689,1,2,2015-08-25,1,0,0,1,c,a,1270.0,0,2008-09-01
20545,1,1,2015-08-24,1,0,0,1,c,a,1270.0,0,2008-09-01
21401,1,7,2015-08-23,0,0,0,1,c,a,1270.0,0,2008-09-01
22257,1,6,2015-08-22,1,0,0,1,c,a,1270.0,0,2008-09-01
23113,1,5,2015-08-21,1,1,0,1,c,a,1270.0,0,2008-09-01
23969,1,4,2015-08-20,1,1,0,1,c,a,1270.0,0,2008-09-01
24825,1,3,2015-08-19,1,1,0,1,c,a,1270.0,0,2008-09-01
25681,1,2,2015-08-18,1,1,0,1,c,a,1270.0,0,2008-09-01
26537,1,1,2015-08-17,1,1,0,1,c,a,1270.0,0,2008-09-01
27393,1,7,2015-08-16,0,0,0,1,c,a,1270.0,0,2008-09-01
28249,1,6,2015-08-15,1,0,0,1,c,a,1270.0,0,2008-09-01
29105,1,5,2015-08-14,1,0,0,1,c,a,1270.0,0,2008-09-01
29961,1,4,2015-08-13,1,0,0,1,c,a,1270.0,0,2008-09-01
30817,1,3,2015-08-12,1,0,0,1,c,a,1270.0,0,2008-09-01
31673,1,2,2015-08-11,1,0,0,1,c,a,1270.0,0,2008-09-01
32529,1,1,2015-08-10,1,0,0,1,c,a,1270.0,0,2008-09-01
33385,1,7,2015-08-09,0,0,0,1,c,a,1270.0,0,2008-09-01
34241,1,6,2015-08-08,1,0,0,1,c,a,1270.0,0,2008-09-01
35097,1,5,2015-08-07,1,1,0,1,c,a,1270.0,0,2008-09-01
35953,1,4,2015-08-06,1,1,0,1,c,a,1270.0,0,2008-09-01
36809,1,3,2015-08-05,1,1,0,1,c,a,1270.0,0,2008-09-01
37665,1,2,2015-08-04,1,1,0,1,c,a,1270.0,0,2008-09-01
38521,1,1,2015-08-03,1,1,0,1,c,a,1270.0,0,2008-09-01
39377,1,7,2015-08-02,0,0,0,1,c,a,1270.0,0,2008-09-01
40233,1,6,2015-08-01,1,0,0,1,c,a,1270.0,0,2008-09-01
2,3,4,2015-09-17,1,1,0,0,a,a,14130.0,1,2006-12-01
858,3,3,2015-09-16,1,1,0,0,a,a,14130.0,1,2006-12-01
1714,3,2,2015-09-15,1,1,0,0,a,a,14130.0,1,2006-12-01
2570,3,1,2015-09-14,1,1,0,0,a,a,14130.0,1,2006-12-01
3426,3,7,2015-09-13,0,0,0,0,a,a,14130.0,1,2006-12-01
4282,3,6,2015-09-12,1,0,0,0,a,a,14130.0,1,2006-12-01
5138,3,5,2015-09-11,1,0,0,0,a,a,14130.0,1,2006-12-01
5994,3,4,2015-09-10,1,0,0,0,a,a,14130.0,1,2006-12-01
6850,3,3,2015-09-09,1,0,0,0,a,a,14130.0,1,2006-12-01
7706,3,2,2015-09-08,1,0,0,0,a,a,14130.0,1,2006-12-01
8562,3,1,2015-09-07,1,0,0,0,a,a,14130.0,1,2006-12-01
9418,3,7,2015-09-06,0,0,0,0,a,a,14130.0,1,2006-12-01
10274,3,6,2015-09-05,1,0,0,0,a,a,14130.0,1,2006-12-01
11130,3,5,2015-09-04,1,1,0,0,a,a,14130.0,1,2006-12-01
11986,3,4,2015-09-03,1,1,0,0,a,a,14130.0,1,2006-12-01
12842,3,3,2015-09-02,1,1,0,0,a,a,14130.0,1,2006-12-01
13698,3,2,2015-09-01,1,1,0,0,a,a,14130.0,1,2006-12-01
14554,3,1,2015-08-31,1,1,0,0,a,a,14130.0,1,2006-12-01
15410,3,7,2015-08-30,0,0,0,0,a,a,14130.0,1,2006-12-01
16266,3,6,2015-08-29,1,0,0,0,a,a,14130.0,1,2006-12-01
17122,3,5,2015-08-28,1,0,0,0,a,a,14130.0,1,2006-12-01
17978,3,4,2015-08-27,1,0,0,0,a,a,14130.0,1,2006-12-01
18834,3,3,2015-08-26,1,0,0,0,a,a,14130.0,1,2006-12-01
19690,3,2,2015-08-25,1,0,0,0,a,a,14130.0,1,2006-12-01
20546,3,1,2015-08-24,1,0,0,0,a,a,14130.0,1,2006-12-01
21402,3,7,2015-08-23,0,0,0,0,a,a,14130.0,1,2006-12-01
22258,3,6,2015-08-22,1,0,0,0,a,a,14130.0,1,2006-12-01
23114,3,5,2015-08-21,1,1,0,0,a,a,14130.0,1,2006-12-01
23970,3,4,2015-08-20,1,1,0,0,a,a,14130.0,1,2006-12-01
24826,3,3,2015-08-19,1,1,0,0,a,a,14130.0,1,2006-12-01
25682,3,2,2015-08-18,1,1,0,0,a,a,14130.0,1,2006-12-01
26538,3,1,2015-08-17,1,1,0,0,a,a,14130.0,1,2006-12-01
27394,3,7,2015-08-16,0,0,0,0,a,a,14130.0,1,2006-12-01
28250,3,6,2015-08-15,1,0,0,0,a,a,14130.0,1,2006-12-01
29106,3,5,2015-08-14,1,0,0,0,a,a,14130.0,1,2006-12-01
29962,3,4,2015-08-13,1,0,0,0,a,a,14130.0,1,2006-12-01
30818,3,3,2015-08-12,1,0,0,0,a,a,14130.0,1,2006-12-01
31674,3,2,2015-08-11,1,0,0,1,a,a,14130.0,1,2006-12-01
32530,3,1,2015-08-10,1,0,0,1,a,a,14130.0,1,2006-12-01
33386,3,7,2015-08-09,0,0,0,0,a,a,14130.0,1,2006-12-01
34242,3,6,2015-08-08,1,0,0,0,a,a,14130.0,1,2006-12-01
35098,3,5,2015-08-07,1,1,0,1,a,a,14130.0,1,2006-12-01
35954,3,4,2015-08-06,1,1,0,1,a,a,14130.0,1,2006-12-01
36810,3,3,2015-08-05,1,1,0,1,a,a,14130.0,1,2006-12-01
37666,3,2,2015-08-04,1,1,0,1,a,a,14130.0,1,2006-12-01
38522,3,1,2015-08-03,1,1,0,1,a,a,14130.0,1,2006-12-01
39378,3,7,2015-08-02,0,0,0,0,a,a,14130.0,1,2006-12-01
40234,3,6,2015-08-01,1,0,0,0,a,a,14130.0,1,2006-12-01
3,7,4,2015-09-17,1,1,0,0,a,c,24000.0,0,2013-04-01
859,7,3,2015-09-16,1,1,0,0,a,c,24000.0,0,2013-04-01
1715,7,2,2015-09-15,1,1,0,0,a,c,24000.0,0,2013-04-01
2571,7,1,2015-09-14,1,1,0,0,a,c,24000.0,0,2013-04-01
3427,7,7,2015-09-13,0,0,0,0,a,c,24000.0,0,2013-04-01
4283,7,6,2015-09-12,1,0,0,0,a,c,24000.0,0,2013-04-01
5139,7,5,2015-09-11,1,0,0,0,a,c,24000.0,0,2013-04-01
5995,7,4,2015-09-10,1,0,0,0,a,c,24000.0,0,2013-04-01
6851,7,3,2015-09-09,1,0,0,0,a,c,24000.0,0,2013-04-01
7707,7,2,2015-09-08,1,0,0,0,a,c,24000.0,0,2013-04-01
8563,7,1,2015-09-07,1,0,0,0,a,c,24000.0,0,2013-04-01
9419,7,7,2015-09-06,0,0,0,0,a,c,24000.0,0,2013-04-01
10275,7,6,2015-09-05,1,0,0,0,a,c,24000.0,0,2013-04-01
11131,7,5,2015-09-04,1,1,0,0,a,c,24000.0,0,2013-04-01
11987,7,4,2015-09-03,1,1,0,0,a,c,24000.0,0,2013-04-01
12843,7,3,2015-09-02,1,1,0,0,a,c,24000.0,0,2013-04-01
13699,7,2,2015-09-01,1,1,0,0,a,c,24000.0,0,2013-04-01
14555,7,1,2015-08-31,1,1,0,0,a,c,24000.0,0,2013-04-01
15411,7,7,2015-08-30,0,0,0,0,a,c,24000.0,0,2013-04-01
16267,7,6,2015-08-29,1,0,0,0,a,c,24000.0,0,2013-04-01
17123,7,5,2015-08-28,1,0,0,1,a,c,24000.0,0,2013-04-01
17979,7,4,2015-08-27,1,0,0,1,a,c,24000.0,0,2013-04-01
18835,7,3,2015-08-26,1,0,0,1,a,c,24000.0,0,2013-04-01
19691,7,2,2015-08-25,1,0,0,1,a,c,24000.0,0,2013-04-01
20547,7,1,2015-08-24,1,0,0,1,a,c,24000.0,0,2013-04-01
21403,7,7,2015-08-23,0,0,0,0,a,c,24000.0,0,2013-04-01
22259,7,6,2015-08-22,1,0,0,0,a,c,24000.0,0,2013-04-01
23115,7,5,2015-08-21,1,1,0,1,a,c,24000.0,0,2013-04-01
23971,7,4,2015-08-20,1,1,0,1,a,c,24000.0,0,2013-04-01
24827,7,3,2015-08-19,1,1,0,1,a,c,24000.0,0,2013-04-01
25683,7,2,2015-08-18,1,1,0,1,a,c,24000.0,0,2013-04-01
26539,7,1,2015-08-17,1,1,0,1,a,c,24000.0,0,2013-04-01
27395,7,7,2015-08-16,0,0,0,0,a,c,24000.0,0,2013-04-01
28251,7,6,2015-08-15,1,0,0,0,a,c,24000.0,0,2013-04-01
29107,7,5,2015-08-14,1,0,0,1,a,c,24000.0,0,2013-04-01
29963,7,4,2015-08-13,1,0,0,1,a,c,24000.0,0,2013-04-01
30819,7,3,2015-08-12,1,0,0,1,a,c,24000.0,0,2013-04-01
31675,7,2,2015-08-11,1,0,0,1,a,c,24000.0,0,2013-04-01
32531,7,1,2015-08-10,1,0,0,1,a,c,24000.0,0,2013-04-01
33387,7,7,2015-08-09,0,0,0,0,a,c,24000.0,0,2013-04-01
34243,7,6,2015-08-08,1,0,0,0,a,c,24000.0,0,2013-04-01
35099,7,5,2015-08-07,1,1,0,1,a,c,24000.0,0,2013-04-01
35955,7,4,2015-08-06,1,1,0,1,a,c,24000.0,0,2013-04-01
36811,7,3,2015-08-05,1,1,0,1,a,c,24000.0,0,2013-04-01
37667,7,2,2015-08-04,1,1,0,1,a,c,24000.0,0,2013-04-01
38523,7,1,2015-08-03,1,1,0,1,a,c,24000.0,0,2013-04-01
39379,7,7,2015-08-02,0,0,0,0,a,c,24000.0,0,2013-04-01
40235,7,6,2015-08-01,1,0,0,0,a,c,24000.0,0,2013-04-01
4,8,4,2015-09-17,1,1,0,0,a,a,7520.0,0,2014-10-01
860,8,3,2015-09-16,1,1,0,0,a,a,7520.0,0,2014-10-01
1716,8,2,2015-09-15,1,1,0,0,a,a,7520.0,0,2014-10-01
2572,8,1,2015-09-14,1,1,0,0,a,a,7520.0,0,2014-10-01
3428,8,7,2015-09-13,0,0,0,0,a,a,7520.0,0,2014-10-01
4284,8,6,2015-09-12,1,0,0,0,a,a,7520.0,0,2014-10-01
5140,8,5,2015-09-11,1,0,0,0,a,a,7520.0,0,2014-10-01
5996,8,4,2015-09-10,1,0,0,0,a,a,7520.0,0,2014-10-01
6852,8,3,2015-09-09,1,0,0,0,a,a,7520.0,0,2014-10-01
7708,8,2,2015-09-08,1,0,0,0,a,a,7520.0,0,2014-10-01
8564,8,1,2015-09-07,1,0,0,0,a,a,7520.0,0,2014-10-01
9420,8,7,2015-09-06,0,0,0,0,a,a,7520.0,0,2014-10-01
10276,8,6,2015-09-05,1,0,0,0,a,a,7520.0,0,2014-10-01
11132,8,5,2015-09-04,1,1,0,0,a,a,7520.0,0,2014-10-01
11988,8,4,2015-09-03,1,1,0,0,a,a,7520.0,0,2014-10-01
12844,8,3,2015-09-02,1,1,0,0,a,a,7520.0,0,2014-10-01
13700,8,2,2015-09-01,1,1,0,0,a,a,7520.0,0,2014-10-01
14556,8,1,2015-08-31,1,1,0,0,a,a,7520.0,0,2014-10-01
15412,8,7,2015-08-30,0,0,0,0,a,a,7520.0,0,2014-10-01
16268,8,6,2015-08-29,1,0,0,0,a,a,7520.0,0,2014-10-01
17124,8,5,2015-08-28,1,0,0,1,a,a,7520.0,0,2014-10-01
17980,8,4,2015-08-27,1,0,0,1,a,a,7520.0,0,2014-10-01
18836,8,3,2015-08-26,1,0,0,1,a,a,7520.0,0,2014-10-01
19692,8,2,2015-08-25,1,0,0,1,a,a,7520.0,0,2014-10-01
20548,8,1,2015-08-24,1,0,0,1,a,a,7520.0,0,2014-10-01
21404,8,7,2015-08-23,0,0,0,0,a,a,7520.0,0,2014-10-01
22260,8,6,2015-08-22,1,0,0,0,a,a,7520.0,0,2014-10-01
23116,8,5,2015-08-21,1,1,0,1,a,a,7520.0,0,2014-10-01
23972,8,4,2015-08-20,1,1,0,1,a,a,7520.0,0,2014-10-01
24828,8,3,2015-08-19,1,1,0,1,a,a,7520.0,0,2014-10-01
25684,8,2,2015-08-18,1,1,0,1,a,a,7520.0,0,2014-10-01
26540,8,1,2015-08-17,1,1,0,1,a,a,7520.0,0,2014-10-01
27396,8,7,2015-08-16,0,0,0,0,a,a,7520.0,0,2014-10-01
28252,8,6,2015-08-15,1,0,0,0,a,a,7520.0,0,2014-10-01
29108,8,5,2015-08-14,1,0,0,1,a,a,7520.0,0,2014-10-01
29964,8,4,2015-08-13,1,0,0,1,a,a,7520.0,0,2014-10-01
30820,8,3,2015-08-12,1,0,0,1,a,a,7520.0,0,2014-10-01
31676,8,2,2015-08-11,1,0,0,1,a,a,7520.0,0,2014-10-01
32532,8,1,2015-08-10,1,0,0,1,a,a,7520.0,0,2014-10-01
33388,8,7,2015-08-09,0,0,0,0,a,a,7520.0,0,2014-10-01
34244,8,6,2015-08-08,1,0,0,0,a,a,7520.0,0,2014-10-01
35100,8,5,2015-08-07,1,1,0,1,a,a,7520.0,0,2014-10-01
35956,8,4,2015-08-06,1,1,0,1,a,a,7520.0,0,2014-10-01
36812,8,3,2015-08-05,1,1,0,1,a,a,7520.0,0,2014-10-01
37668,8,2,2015-08-04,1,1,0,1,a,a,7520.0,0,2014-10-01
38524,8,1,2015-08-03,1,1,0,1,a,a,7520.0,0,2014-10-01
39380,8,7,2015-08-02,0,0,0,0,a,a,7520.0,0,2014-10-01
40236,8,6,2015-08-01,1,0,0,0,a,a,7520.0,0,2014-10-01
5,9,4,2015-09-17,1,1,0,0,a,c,2030.0,0,2000-08-01
861,9,3,2015-09-16,1,1,0,0,a,c,2030.0,0,2000-08-01
1717,9,2,2015-09-15,1,1,0,0,a,c,2030.0,0,2000-08-01
2573,9,1,2015-09-14,1,1,0,0,a,c,2030.0,0,2000-08-01
3429,9,7,2015-09-13,0,0,0,0,a,c,2030.0,0,2000-08-01
4285,9,6,2015-09-12,1,0,0,0,a,c,2030.0,0,2000-08-01
5141,9,5,2015-09-11,1,0,0,0,a,c,2030.0,0,2000-08-01
5997,9,4,2015-09-10,1,0,0,0,a,c,2030.0,0,2000-08-01
6853,9,3,2015-09-09,1,0,0,0,a,c,2030.0,0,2000-08-01
7709,9,2,2015-09-08,1,0,0,0,a,c,2030.0,0,2000-08-01
8565,9,1,2015-09-07,1,0,0,0,a,c,2030.0,0,2000-08-01
9421,9,7,2015-09-06,0,0,0,0,a,c,2030.0,0,2000-08-01
10277,9,6,2015-09-05,1,0,0,0,a,c,2030.0,0,2000-08-01
11133,9,5,2015-09-04,1,1,0,0,a,c,2030.0,0,2000-08-01
11989,9,4,2015-09-03,1,1,0,0,a,c,2030.0,0,2000-08-01
12845,9,3,2015-09-02,1,1,0,0,a,c,2030.0,0,2000-08-01
13701,9,2,2015-09-01,1,1,0,0,a,c,2030.0,0,2000-08-01
14557,9,1,2015-08-31,1,1,0,0,a,c,2030.0,0,2000-08-01
15413,9,7,2015-08-30,0,0,0,0,a,c,2030.0,0,2000-08-01
16269,9,6,2015-08-29,1,0,0,0,a,c,2030.0,0,2000-08-01
17125,9,5,2015-08-28,1,0,0,0,a,c,2030.0,0,2000-08-01
17981,9,4,2015-08-27,1,0,0,0,a,c,2030.0,0,2000-08-01
18837,9,3,2015-08-26,1,0,0,0,a,c,2030.0,0,2000-08-01
19693,9,2,2015-08-25,1,0,0,0,a,c,2030.0,0,2000-08-01
20549,9,1,2015-08-24,1,0,0,0,a,c,2030.0,0,2000-08-01
21405,9,7,2015-08-23,0,0,0,0,a,c,2030.0,0,2000-08-01
22261,9,6,2015-08-22,1,0,0,0,a,c,2030.0,0,2000-08-01
23117,9,5,2015-08-21,1,1,0,0,a,c,2030.0,0,2000-08-01
23973,9,4,2015-08-20,1,1,0,0,a,c,2030.0,0,2000-08-01
24829,9,3,2015-08-19,1,1,0,0,a,c,2030.0,0,2000-08-01
25685,9,2,2015-08-18,1,1,0,0,a,c,2030.0,0,2000-08-01
26541,9,1,2015-08-17,1,1,0,0,a,c,2030.0,0,2000-08-01
27397,9,7,2015-08-16,0,0,0,0,a,c,2030.0,0,2000-08-01
28253,9,6,2015-08-15,1,0,0,0,a,c,2030.0,0,2000-08-01
29109,9,5,2015-08-14,1,0,0,0,a,c,2030.0,0,2000-08-01
29965,9,4,2015-08-13,1,0,0,0,a,c,2030.0,0,2000-08-01
30821,9,3,2015-08-12,1,0,0,0,a,c,2030.0,0,2000-08-01
31677,9,2,2015-08-11,1,0,0,1,a,c,2030.0,0,2000-08-01
32533,9,1,2015-08-10,1,0,0,1,a,c,2030.0,0,2000-08-01
33389,9,7,2015-08-09,0,0,0,0,a,c,2030.0,0,2000-08-01
34245,9,6,2015-08-08,1,0,0,0,a,c,2030.0,0,2000-08-01
35101,9,5,2015-08-07,1,1,0,1,a,c,2030.0,0,2000-08-01
35957,9,4,2015-08-06,1,1,0,1,a,c,2030.0,0,2000-08-01
36813,9,3,2015-08-05,1,1,0,1,a,c,2030.0,0,2000-08-01
37669,9,2,2015-08-04,1,1,0,1,a,c,2030.0,0,2000-08-01
38525,9,1,2015-08-03,1,1,0,1,a,c,2030.0,0,2000-08-01
39381,9,7,2015-08-02,0,0,0,0,a,c,2030.0,0,2000-08-01
